Date,Open,High,Low,Close,Adj Close,Volume
6/25/2020,102.419998,103.690002,101.309998,103.580002,102.893738,10267200
6/26/2020,103.379997,103.529999,101.230003,101.540001,100.867256,22137800
6/29/2020,101.529999,102.660004,100.309998,102.650002,101.969894,9273600
6/30/2020,102.660004,104.910004,102.519997,104.489998,103.797707,8250000
7/1/2020,104.559998,105.269997,104.080002,104.660004,103.966583,10854600
7/2/2020,105.650002,106.220001,105.050003,105.269997,104.572533,9572300
7/6/2020,106.629997,107.610001,106.57,107.110001,106.400352,8023100
7/7/2020,106.989998,108.07,105.879997,105.989998,105.287766,7931800
7/8/2020,106.830002,107.730003,106.260002,107.720001,107.006302,6663500
7/9/2020,108.599998,108.620003,106.559998,108.110001,107.393723,8883900
7/10/2020,107.860001,108.129997,106.800003,108.080002,107.363922,7362300
7/13/2020,109,109.720001,105.57,105.839996,105.138763,14455200
7/14/2020,105,107.209999,103.879997,107.059998,106.35067,15026600
7/15/2020,108.040001,108.57,106.379997,107.639999,106.926834,11889600
7/16/2020,106.489998,106.790001,105.489998,106.309998,105.605652,8590300
7/17/2020,106.940002,107.129997,105.849998,106.830002,106.1222,6355200
7/20/2020,107.129997,109.82,106.529999,109.559998,108.834106,8509200
7/21/2020,110.339996,110.379997,108.059998,108.459999,107.741402,9397400
7/22/2020,108.559998,109.669998,108.470001,109.330002,108.605644,7514000
7/23/2020,108.75,109.470001,106.010002,106.489998,105.784454,11674800
7/24/2020,104.709999,105.889999,103.470001,105.199997,104.503006,11455800
7/27/2020,105.839996,106.970001,105.629997,106.860001,106.152,8454000
7/28/2020,106.529999,106.860001,105.529999,105.610001,104.910286,8912700
7/29/2020,106.010002,107.43,106.010002,107.139999,106.430145,6593500
7/30/2020,106.169998,107.809998,105.599998,107.739998,107.026169,10778400
7/31/2020,109.440002,110.470001,107.660004,110.43,109.698349,12594100
8/3/2020,111.93,113.510002,111.879997,113.150002,112.400337,12163500
8/4/2020,112.910004,113.449997,112.419998,113.440002,112.688408,8985800
8/5/2020,113.800003,114.120003,113.290001,113.860001,113.105621,6480100
8/6/2020,113.769997,115.57,113.519997,115.459999,114.695023,8199700
8/7/2020,115,115.010002,112.839996,113.739998,112.986412,13738100
8/10/2020,113.959999,114.150002,111.889999,113.419998,112.668533,8240600
8/11/2020,113.050003,113.529999,111.150002,111.379997,110.642052,9422200
8/12/2020,112.279999,114.209999,112.139999,113.910004,113.155296,7098900
8/13/2020,114.07,114.910004,113.550003,113.959999,113.204964,5726800
8/14/2020,114.010002,114.209999,113.25,113.879997,113.125488,4167100
8/17/2020,114.57,114.900002,114.43,114.639999,113.880455,4087300
8/18/2020,114.860001,115.379997,114.099998,115.07,114.30761,4465000
8/19/2020,115.360001,115.870003,114.739998,114.93,114.168533,7119700
8/20/2020,114.5,116.690002,114.379997,116.459999,115.6884,6401500
8/21/2020,116.57,118.07,116.510002,117.940002,117.1586,7644300
8/24/2020,119.639999,119.68,117.970001,118.959999,118.171837,8220300
8/25/2020,118.690002,119.610001,118.510002,119.559998,118.767853,9314100
8/26/2020,120.809998,122.309998,120.540001,121.989998,121.181755,8231500
8/27/2020,122.5,123.059998,120.989998,122.089996,121.28109,9087100
8/28/2020,122.57,123.559998,122.410004,123.160004,122.344009,6546300
8/31/2020,123.650002,124.349998,122.879997,123.550003,122.731422,9520000
9/1/2020,124.660004,126.07,123.879997,125.910004,125.07579,12810000
9/2/2020,127.709999,127.720001,124.809998,127.029999,126.188362,20197500
9/3/2020,125,125.099998,118.800003,119.790001,118.996338,27081000
9/4/2020,119.120003,120.82,113.050003,118.120003,117.33741,31272100
9/8/2020,113.629997,116.330002,112.580002,112.779999,112.032776,23930200
9/9/2020,115.529999,117.599998,114.269997,116.459999,115.6884,18391900
9/10/2020,118.059998,118.239998,113.139999,113.830002,113.075829,16054900
9/11/2020,114.900002,115.339996,111.519997,112.959999,112.211594,18583200
9/14/2020,114.839996,115.949997,114.300003,115.330002,114.565887,12365100
9/15/2020,117.089996,117.300003,115.690002,116.470001,115.698334,9130200
9/16/2020,116.989998,117.150002,114.559998,114.669998,113.910263,9818500
9/17/2020,111.989998,114.510002,111.809998,113.720001,112.966553,15201800
9/18/2020,113.910004,114.110001,110.379997,111.760002,111.019547,20918800
9/21/2020,109.5,112.489998,109.110001,112.440002,111.942436,19190900
9/22/2020,113.709999,114.510002,111.779999,114.220001,113.714561,12768700
9/23/2020,114.279999,114.389999,110.32,110.660004,110.170319,11853900
9/24/2020,109.629997,112.660004,109.489998,111.279999,110.787567,15919300
9/25/2020,111.339996,114.279999,110.639999,113.940002,113.435799,9663300
9/28/2020,115.830002,116.129997,114.870003,116.120003,115.606155,8736600
9/29/2020,115.970001,116.459999,115.480003,115.730003,115.21788,10425500
9/30/2020,115.669998,117.889999,115.620003,116.699997,116.183578,11159200
10/1/2020,118.32,118.480003,117.18,117.93,117.408142,13538200
10/2/2020,115.029999,116.940002,114.480003,114.940002,114.431374,18625800
10/5/2020,115.760002,117.529999,115.690002,117.459999,116.940216,6135300
10/6/2020,117.18,118.290001,115.230003,115.639999,115.128273,13431100
10/7/2020,116.849998,117.989998,116.760002,117.760002,117.238899,6496200
10/8/2020,118.790001,118.790001,117.970001,118.370003,117.846199,5054800
10/9/2020,118.93,120.209999,118.900002,120.18,119.648186,7212700
10/12/2020,121.949997,124.269997,121.339996,123.459999,122.913673,9581900
10/13/2020,123.860001,124.080002,122.199997,122.669998,122.127159,8806900
10/14/2020,122.970001,123.620003,121.110001,122.019997,121.480034,7277900
10/15/2020,120,121.709999,119.68,121.470001,120.93248,6592500
10/16/2020,122.139999,122.629997,121.010002,121.120003,120.584023,5772100
10/19/2020,121.730003,122.190002,118.529999,118.900002,118.373848,8308200
10/20/2020,119.349998,120.57,118.580002,119.309998,118.782036,7283300
10/21/2020,119.019997,120.269997,118.860001,119.129997,118.602821,6085900
10/22/2020,119.18,119.57,117.209999,118.57,118.045311,6743200
10/23/2020,118.739998,118.760002,117.449997,118.440002,117.915894,5156400
10/26/2020,117.129997,118.07,114.43,115.870003,115.357254,9094600
10/27/2020,116.43,116.940002,115.790001,116.449997,115.934692,9532400
10/28/2020,114.239998,114.309998,111.32,111.510002,111.016548,16378300
10/29/2020,111.940002,114.68,111.870003,113.370003,112.868324,9704500
10/30/2020,111.779999,112.480003,109.57,110.860001,110.369431,12924300
11/2/2020,111.709999,112.620003,110.080002,111.139999,110.648186,12019900
11/3/2020,112.010002,114.099998,111.550003,113.099998,112.59951,10485100
11/4/2020,116.540001,118.379997,115.370003,117.5,116.980042,15381900
11/5/2020,120.589996,121.5,120.089996,121.150002,120.613892,11094900
