Date,Open,High,Low,Close,Adj Close,Volume
6/30/2020,53.419998,54.200001,53.169998,54.040001,53.744984,2815900
7/1/2020,54.220001,55.59,54.18,55.380001,55.077663,5156500
7/2/2020,55.880001,55.970001,55.119999,55.200001,54.898651,2252800
7/6/2020,55.82,56.389999,55.650002,56.310001,56.00259,2082200
7/7/2020,56.169998,56.98,56.074001,56.150002,55.843464,2392300
7/8/2020,56.220001,56.75,55.794998,56.650002,56.340736,3106800
7/9/2020,56.889999,56.950001,55.830002,56.720001,56.410355,3453700
7/10/2020,56.68,57.740002,56.377998,57.700001,57.385006,2429100
7/13/2020,58.16,58.415001,56.349998,56.540001,56.231335,2954700
7/14/2020,55.970001,57.16,55.724998,57.099998,56.788273,3719800
7/15/2020,57.349998,57.669998,56.82,57.439999,57.126419,3089200
7/16/2020,56.939999,57.619999,56.73,57.540001,57.225876,2216700
7/17/2020,57.549999,57.580002,56.810001,57.41,57.096584,1928900
7/20/2020,57.310001,58.23,56.849998,58.099998,57.782818,2205300
7/21/2020,58.48,58.529999,57.66,57.82,57.504345,2228100
7/22/2020,57.810001,57.924999,57.465,57.880001,57.564022,1528700
7/23/2020,57.990002,58.130001,56.639999,56.939999,56.62915,2271200
7/24/2020,56.549999,57.026001,56.259998,56.849998,56.539639,3291800
7/27/2020,57.060001,57.32,56.757999,57.240002,56.927513,1556100
7/28/2020,57.080002,57.290001,56.560001,56.650002,56.340736,1818100
7/29/2020,56.93,57.325001,56.720001,57.169998,56.857891,1720600
7/30/2020,56.630001,57.43,56.349998,57.330002,57.017025,2202100
7/31/2020,58.380001,58.380001,57.235001,58.130001,57.812656,2741700
8/3/2020,58.279999,58.349998,57.757999,58.18,57.862385,2335700
8/4/2020,58.16,58.560001,58.16,58.549999,58.230362,2829100
8/5/2020,58.720001,58.810001,58.290001,58.459999,58.14085,1874200
8/6/2020,58.549999,60.060001,58.450001,60,59.672443,2277200
8/7/2020,59.849998,60.880001,59.43,59.93,59.602829,2525900
8/10/2020,59.91,60.459999,59.150002,59.73,59.403915,4230300
8/11/2020,59.66,60.014999,58.720001,58.84,58.51878,3121200
8/12/2020,59.169998,59.91,59.169998,59.540001,59.214954,6266000
8/13/2020,59.599998,60.268002,59.569,59.84,59.513321,1707300
8/14/2020,59.889999,60.009998,59.630001,59.830002,59.503376,1205100
8/17/2020,60.060001,60.060001,59.689999,59.900002,59.572994,1179400
8/18/2020,60.060001,60.630001,59.794998,60.439999,60.110043,1353100
8/19/2020,60.490002,60.939999,60.130001,60.27,59.940975,2143500
8/20/2020,60.029999,61.09,59.994999,61.02,60.686878,7930600
8/21/2020,60.880001,61.07,60.540001,60.75,60.418354,2003100
8/24/2020,61.189999,61.759998,61.112999,61.490002,61.154312,3340600
8/25/2020,61.509998,62.174999,61.360001,62.07,61.731144,4156100
8/26/2020,62.200001,64.260002,62.18,64.190002,63.839573,3234100
8/27/2020,64.150002,64.153999,63.165001,63.41,63.063828,5037200
8/28/2020,63.57,63.66,63.23,63.560001,63.213013,1819300
8/31/2020,63.5,63.689999,63.169998,63.259998,62.914646,2728400
9/1/2020,63.380001,63.937,63.119999,63.779999,63.431808,4703000
9/2/2020,64.150002,65.339996,63.889999,65.139999,64.784378,4321700
9/3/2020,64.559998,64.709999,62.185001,62.93,62.586452,7536500
9/4/2020,62.610001,62.959999,60.169998,61.779999,61.442726,10039900
9/8/2020,60.259998,61.014999,60.02,60.150002,59.821625,8138700
